,Gu,Dong,Name,Date,Price,Area,Floor,Address,Year,Month,Interest Rate,Jeonse Index,Total Population,Children,Adolescent,Youth,Middle-Aged,Old Age,Consumption,major,Building Year,Longitude,Latitude,Nearest Medical Center,Distance to MC,Nearest Station,Distance to NS,Elementary Schools Num,High Schools Num,Market Num,Hospital Num,Park Presence,Nearby Hangang,Gu_encoding,Dong_encoding
10,관악구,봉천동,봉천우성,20240102,76000,84.96,14,관악구 봉천동 1706-0000,2024,202401,3.5,54.0,221702,0.0544018547,0.117820317,0.345558452,0.32166151,0.160557866,6.374571906,0,24,126.9595374,37.4849761,의료법인서울효천의료재단 에이치플러스양지병원,2.383459659581106,봉천,0.37515680799678597,4,0,7,5,1,0,5,1
11,관악구,봉천동,브라운스톤관악,20240102,70500,59.67,8,관악구 봉천동 1721-0000,2024,202401,3.5,54.0,221702,0.0544018547,0.117820317,0.345558452,0.32166151,0.160557866,6.374571906,0,19,126.9572358,37.4878113,중앙대학교병원,2.16482269347697,봉천,0.0001768647009160273,2,0,9,5,1,0,5,2
12,강남구,수서동,삼성,20240102,145500,59.86,3,강남구 수서동 0747-0000,2024,202401,3.5,54.0,21806,0.0755755297,0.0813537559,0.201504173,0.374300651,0.26726589,8.94471406,2,27,127.0907042,37.4848987,삼성서울병원,0.5363908853444612,대청,0.5764651194380054,2,1,1,1,1,0,1,1
13,강남구,수서동,삼성,20240102,173500,84.97,3,강남구 수서동 0747-0000,2024,202401,3.5,54.0,21806,0.0755755297,0.0813537559,0.201504173,0.374300651,0.26726589,8.94471406,2,27,127.0907042,37.4848987,삼성서울병원,0.5363908853444612,대청,0.5764651194380054,2,1,1,1,1,0,1,2
14,노원구,상계동,상계대림,20240102,45000,59.67,10,노원구 상계동 0172-0000,2024,202401,3.5,54.0,197373,0.0755675802,0.116272236,0.217324558,0.406073779,0.184761847,6.329893618,0,35,127.0745267,37.6630515,인제대학교상계백병원,1.8968248473024947,상계,0.23536253968081364,3,5,8,5,1,0,9,2
15,관악구,신림동,서울대벤처타운역 푸르지오,20240102,68903,59.99,17,관악구 신림동 0316-0062,2024,202401,3.5,54.0,242441,0.0413131442,0.10749007,0.344537434,0.338977318,0.167673785,6.374571906,2,2024,126.9326721,37.4606969,의료법인서울효천의료재단 에이치플러스양지병원,2.6217991566537906,서울대벤처타운,1.2629586687145098,1,2,0,0,1,0,5,3
16,서초구,방배동,현대멤피스,20240102,260000,158.82,11,서초구 방배동 0772-0013,2024,202401,3.5,54.0,94366,0.0869804803,0.131562215,0.215840451,0.396286798,0.169319458,8.125860962,2,23,126.988348,37.4951954,학교법인가톨릭학원가톨릭대학교서울성모병원,1.6209163463932081,남태령,0.5050833366551514,1,2,3,6,1,0,15,1
17,성동구,행당동,두산,20240102,95000,84.87,14,성동구 행당동 0345-0000,2024,202401,3.5,54.0,41800,0.0811722488,0.133779904,0.261985646,0.369425837,0.15361244,7.310219689,0,27,127.0373465,37.5647185,한양대학교병원,0.8503269437310662,마장,0.3631819536322087,3,0,6,9,1,0,16,1
18,서초구,잠원동,킴스빌리지,20240102,53800,23.7,2,서초구 잠원동 0071-0012,2024,202401,3.5,54.0,50621,0.107820865,0.154026985,0.188123506,0.420339385,0.129669505,8.125860962,0,28,127.0065186,37.5108432,학교법인가톨릭학원가톨릭대학교서울성모병원,1.0178089075960797,잠원,0.42208055100820474,1,2,11,1,1,0,15,2
19,강서구,가양동,가양2단지(성지),20240102,49000,34.44,12,강서구 가양동 1461-0000,2024,202401,3.5,54.0,43133,0.0573806598,0.0687872395,0.274638908,0.363387661,0.235805532,7.385394433,0,32,126.8471913,37.5705116,부민병원,1.5449244023943334,발산,1.5248000543069178,3,2,4,0,1,1,4,1
20,강남구,자곡동,강남자곡아이파크,20240102,115000,59.96,10,강남구 자곡동 0602-0000,2024,202401,3.5,54.0,27340,0.127871251,0.111448427,0.265288954,0.355925384,0.139465984,8.94471406,1,10,127.1014278,37.4746726,삼성서울병원,2.015545498321315,수서역,1.2123451339700775,2,0,1,2,1,0,1,3
21,용산구,한강로3가,센트럴파크,20240102,264000,102.86,10,용산구 한강로3가 0098-0000,2024,202401,3.5,54.0,7893,0.0746230837,0.0980615736,0.241859876,0.412010642,0.173444825,7.122794962,0,4,126.9674958,37.5259368,중앙대학교병원,2.1791175050566687,용산역,0.49464328903227306,1,0,10,0,1,0,21,1
22,송파구,장지동,송파더센트레,20240102,102500,59.85,15,송파구 장지동 0879-0000,2024,202401,3.5,54.0,43131,0.154251003,0.133152489,0.206324917,0.388003988,0.118267603,7.869572646,0,11,127.1401457,37.4792025,경찰병원,2.4129938468219,복정,0.7586029493127795,2,0,0,1,1,0,18,3
23,중랑구,신내동,신내 데시앙포레,20240102,67500,84.91,7,중랑구 신내동 0817-0000,2024,202401,3.5,54.0,57327,0.0838173984,0.113332287,0.200481448,0.405969264,0.196364715,6.258485261,0,11,127.1100586,37.6152583,서울특별시서울의료원,1.0870773844633532,봉화산(서울의료원),0.43677531213262444,1,0,0,0,1,0,25,1
24,성북구,길음동,래미안길음센터피스,20240102,135500,84.95,35,성북구 길음동 0498-0000,2024,202401,3.5,54.0,54084,0.132479107,0.140448192,0.180570964,0.412377043,0.134124695,6.243843159,2,5,127.025231,37.6107124,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),2.621619874369382,길음,0.36626770965800276,4,0,11,8,1,0,17,1
25,구로구,구로동,신도림현대,20240102,79000,80.01,7,구로구 구로동 0560-0000,2024,202401,3.5,54.0,114035,0.0621212785,0.0943569957,0.280115754,0.379453677,0.183952295,7.212296533,2,30,126.8858555,37.5048223,고려대학교의과대학부속구로병원,1.416807384528194,남구로,0.2601929273060133,3,0,14,7,1,0,7,2
26,노원구,공릉동,신원아파트,20240102,49200,59.59,12,노원구 공릉동 0370-0004,2024,202401,3.5,54.0,77249,0.0795609005,0.151277039,0.231446362,0.377351163,0.160364535,6.329893618,0,24,127.0751067,37.627764,한국원자력의학원원자력병원,0.6782650364389478,하계,1.1221960820309729,2,2,3,4,1,0,9,3
27,송파구,신천동,파크리오,20240102,274000,144.77,19,송파구 신천동 0017-0000,2024,202401,3.5,54.0,37702,0.132937245,0.122646014,0.183703782,0.40493873,0.15577423,7.869572646,0,16,127.1061782,37.5205493,재단법인아산사회복지재단서울아산병원,0.6930363363999934,잠실나루,0.2192694893491052,3,2,10,4,1,0,18,4
28,영등포구,신길동,래미안에스티움,20240102,141000,84.93,26,영등포구 신길동 4950-0000,2024,202401,3.5,54.0,102393,0.0796734152,0.0961979823,0.261482718,0.380670554,0.18197533,8.130311556,2,7,126.9135771,37.500908,한림대학교강남성심병원,0.955224700674618,신풍,0.09167167332159457,4,0,2,7,1,0,20,1
29,노원구,중계동,청구(366),20240102,124000,115.47,11,노원구 중계동 0366-0000,2024,202401,3.5,54.0,100880,0.0880452022,0.164442902,0.15537272,0.429391356,0.162747819,6.329893618,0,31,127.0795426,37.6519326,인제대학교상계백병원,1.4934066139753457,중계,0.10987586634729253,4,5,7,1,1,0,9,4
30,강동구,성내동,씨제이나인,20240102,69300,83.59,9,강동구 성내동 0164-0001,2024,202401,3.5,54.0,65323,0.0645867459,0.100225036,0.272798249,0.38715307,0.175221591,6.780687751,0,18,127.1312886,37.5358259,성심의료재단강동성심병원,0.350929695294158,강동구청,0.9933131103590251,0,1,23,19,1,0,2,2
31,강남구,삼성동,롯데캐슬프레미어,20240102,425000,213.44,8,강남구 삼성동 0011-0000,2024,202401,3.5,54.0,42657,0.091919263,0.132240898,0.238202405,0.399418618,0.138218815,8.94471406,1,17,127.0447627,37.5152749,차의과학대학교 강남차병원,1.2964343594266594,강남구청,0.2765750911283564,3,4,12,11,1,0,1,4
32,강동구,천호동,강변그대가리버뷰,20240102,95000,84.93,9,강동구 천호동 0568-0000,2024,202401,3.5,54.0,84813,0.0570195607,0.0840083478,0.286182543,0.386226168,0.186563381,6.780687751,0,17,127.1233658,37.5483372,성심의료재단강동성심병원,1.7283419526031187,암사,0.4178533563258407,2,0,7,7,1,1,2,3
33,마포구,염리동,마포프레스티지자이,20240102,153000,59.88,26,마포구 염리동 0532-0000,2024,202401,3.5,54.0,18070,0.115550636,0.12733813,0.251466519,0.383065855,0.12257886,7.625313276,2,3,126.9477217,37.5529781,연세대학교의과대학세브란스병원,1.1840541122790702,대흥(서강대앞),0.5395184577257566,3,2,6,3,1,0,13,1
34,금천구,시흥동,관악산벽산타운5,20240102,42700,59.34,19,금천구 시흥동 1013-0000,2024,202401,3.5,54.0,100325,0.0631248443,0.0995265388,0.210326439,0.413286818,0.213725393,7.518663296,0,20,126.9187819,37.4482681,희명병원,1.8066904552318195,금천구청,2.3764043463154,3,1,2,14,0,0,8,2
35,구로구,구로동,구로두산,20240102,40800,44.64,21,구로구 구로동 1265-0000,2024,202401,3.5,54.0,114035,0.0621212785,0.0943569957,0.280115754,0.379453677,0.183952295,7.212296533,0,26,126.8892545,37.4893572,고려대학교의과대학부속구로병원,0.5020689998669926,대림(구로구청),0.6667890344403187,3,0,2,5,1,0,7,3
36,강남구,청담동,청담자이,20240102,187000,49.62,8,강남구 청담동 0134-0038,2024,202401,3.5,54.0,24659,0.093191127,0.121699988,0.238898577,0.399286265,0.146924044,8.94471406,2,13,127.057215,37.5236073,건국대학교병원,2.324197559034304,선정릉,1.075349461014736,1,3,7,5,1,1,1,5
37,송파구,가락동,헬리오시티,20240102,249000,110.66,11,송파구 가락동 0913-0000,2024,202401,3.5,54.0,83807,0.105349195,0.109799897,0.252592266,0.390194137,0.142064505,7.869572646,0,6,127.1072346,37.4975218,경찰병원,1.4391654344099825,석촌,0.6787360826729929,4,0,5,14,1,0,18,5
38,금천구,시흥동,무지개,20240102,48000,53.75,2,금천구 시흥동 0109-0001,2024,202401,3.5,54.0,100325,0.0631248443,0.0995265388,0.210326439,0.413286818,0.213725393,7.518663296,0,44,126.8982915,37.4560697,희명병원,0.20531308864543354,금천구청,0.3758155771380015,2,1,10,34,1,0,8,3
39,노원구,월계동,미륭,20240102,64500,51.48,2,노원구 월계동 0013-0000,2024,202401,3.5,54.0,74540,0.0725784814,0.112999732,0.204561309,0.393332439,0.216514623,6.329893618,0,38,127.0654304,37.6245945,노원을지대학교병원,1.3776431272352574,광운대,0.3089797890029896,3,1,4,2,1,0,9,5
40,노원구,월계동,미성,20240102,52000,33.28,2,노원구 월계동 0013-0000,2024,202401,3.5,54.0,74540,0.0725784814,0.112999732,0.204561309,0.393332439,0.216514623,6.329893618,0,38,127.0654304,37.6245945,노원을지대학교병원,1.3776431272352574,광운대,0.3089797890029896,3,1,4,2,1,0,9,6
41,도봉구,창동,미소애,20240102,34500,45.47,7,도봉구 창동 0715-0003,2024,202401,3.5,54.0,115486,0.0690126942,0.112230054,0.216701592,0.411114767,0.190932234,5.796132824,0,19,127.0401397,37.6560497,의료법인한전의료재단 한일병원,1.4757368952202288,쌍문,0.6981979873595342,5,1,4,9,1,0,10,3
42,서대문구,홍은동,극동,20240102,50500,84.92,9,서대문구 홍은동 0454-0000,2024,202401,3.5,54.0,50678,0.073720352,0.115296578,0.222127945,0.396838865,0.191996527,6.647932442,0,29,126.9508701,37.6026309,의료법인동신의료재단동신병원,2.7044692767418583,홍제,1.0972293135527158,2,0,0,0,1,0,14,1
43,성북구,길음동,길음뉴타운8단지(래미안),20240102,83500,59.99,20,성북구 길음동 1284-0000,2024,202401,3.5,54.0,54084,0.132479107,0.140448192,0.180570964,0.412377043,0.134124695,6.243843159,2,14,127.0179394,37.6075472,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),2.388725804036571,길음,0.3800476945677579,4,0,4,8,1,0,17,2
44,중구,신당동,남산타운,20240102,117000,84.88,16,중구 신당동 0844-0000,2024,202401,3.5,54.0,67364,0.0611305742,0.0888308295,0.247565465,0.390594383,0.211878748,8.417634347,0,22,127.009272,37.5490163,순천향대학교 부속 서울병원,1.7407641166794672,신금호,1.0789257600925457,1,1,3,4,1,0,24,1
45,노원구,상계동,노원센트럴푸르지오,20240102,77000,60.0,17,노원구 상계동 1355-0000,2024,202401,3.5,54.0,197373,0.0755675802,0.116272236,0.217324558,0.406073779,0.184761847,6.329893618,2,3,127.0747445,37.6651727,인제대학교상계백병원,2.1098486488827906,상계,0.4680016835092002,3,3,8,3,1,0,9,7
46,서초구,반포동,반포자이,20240102,235000,59.98,25,서초구 반포동 0020-0043,2024,202401,3.5,54.0,76240,0.127662644,0.14114638,0.200472193,0.397704617,0.133001049,8.125860962,2,15,127.0110647,37.5063391,학교법인가톨릭학원가톨릭대학교서울성모병원,0.7531142692365063,잠원,0.7052717852175459,2,1,15,4,1,0,15,3
47,강서구,방화동,동성,20240102,60800,64.65,1,강서구 방화동 0817-0000,2024,202401,3.5,54.0,68811,0.0696836262,0.0899710802,0.243187862,0.384269957,0.212887474,7.385394433,0,31,126.8121958,37.5796267,우리들병원,2.406223278644536,방화,0.5493421816718861,3,0,5,4,1,0,4,2
48,강서구,방화동,동성,20240102,73000,84.95,1,강서구 방화동 0817-0000,2024,202401,3.5,54.0,68811,0.0696836262,0.0899710802,0.243187862,0.384269957,0.212887474,7.385394433,0,31,126.8121958,37.5796267,우리들병원,2.406223278644536,방화,0.5493421816718861,3,0,5,4,1,0,4,3
49,강남구,일원동,푸른마을아파트101동~111동,20240102,122000,59.76,1,강남구 일원동 0719-0000,2024,202401,3.5,54.0,47813,0.109677284,0.138309665,0.215527158,0.391880869,0.144605024,8.94471406,0,30,127.0808681,37.4838638,삼성서울병원,0.7285631490348324,대청,0.29902990626771203,2,2,0,1,1,0,1,6
50,영등포구,신길동,힐스테이트클래시안,20240102,111500,59.87,19,영등포구 신길동 4969-0000,2024,202401,3.5,54.0,102393,0.0796734152,0.0961979823,0.261482718,0.380670554,0.18197533,8.130311556,2,4,126.9119453,37.5041311,한림대학교강남성심병원,1.2439712786900488,신풍,0.45713944410231006,5,0,2,20,1,0,20,2
51,동대문구,장안동,현대홈타운3차,20240102,68000,71.27,10,동대문구 장안동 0571-0000,2024,202401,3.5,54.0,70146,0.0889573176,0.101388533,0.244190688,0.396102415,0.169361047,6.662840572,2,18,127.0731026,37.5747052,녹색병원,1.511862425218673,사가정,1.0515133108370927,2,1,3,12,1,0,11,1
52,송파구,가락동,헬리오시티,20240103,198500,84.98,13,송파구 가락동 0913-0000,2024,202401,3.5,54.0,83807,0.105349195,0.109799897,0.252592266,0.390194137,0.142064505,7.869572646,0,6,127.1072346,37.4975218,경찰병원,1.4391654344099825,석촌,0.6787360826729929,4,0,5,14,1,0,18,6
53,구로구,개봉동,현대,20240103,66500,59.94,19,구로구 개봉동 0481-0000,2024,202401,3.5,54.0,82340,0.0725649745,0.096478018,0.216383289,0.401797425,0.212776293,7.212296533,2,23,126.8585019,37.4920883,구로성심병원,1.0894248379369245,개봉,0.3321669017009449,1,1,6,3,1,0,7,4
54,강남구,압구정동,"현대7차(73~77,82,85동)",20240103,540000,157.36,6,강남구 압구정동 0456-0000,2024,202401,3.5,54.0,30190,0.100828089,0.133189798,0.159688639,0.400761842,0.205498509,8.94471406,2,45,127.0289237,37.5299402,순천향대학교 부속 서울병원,2.2040120816659985,압구정,0.5707247632330171,1,2,28,7,1,1,1,7
55,광진구,구의동,현대프라임,20240103,106500,59.82,25,광진구 구의동 0631-0001,2024,202401,3.5,54.0,76600,0.0677806788,0.113851175,0.278511749,0.385678851,0.154164491,6.429904783,2,27,127.0976329,37.5374019,혜민병원,1.2587808105109883,강변(동서울터미널),0.3529781706717531,2,2,7,1,1,1,6,1
56,서대문구,홍제동,홍제한양,20240103,84000,84.77,6,서대문구 홍제동 0082-0000,2024,202401,3.5,54.0,55536,0.0730877269,0.105679199,0.223710746,0.396121435,0.201400893,6.647932442,0,31,126.9471288,37.5831801,의료법인동신의료재단동신병원,0.9575243262377002,무악재,0.8640383962387685,2,0,4,3,1,0,14,2
57,동작구,흑석동,흑석한강센트레빌,20240103,183500,114.95,11,동작구 흑석동 0335-0000,2024,202401,3.5,54.0,30013,0.100556426,0.120181255,0.230666711,0.387898577,0.160697031,6.318370097,0,13,126.965166,37.5058034,중앙대학교병원,0.4107450114814173,상도,1.3107073883775668,3,0,1,1,1,0,12,1
58,영등포구,신길동,힐스테이트클래시안,20240103,114500,59.91,22,영등포구 신길동 4969-0000,2024,202401,3.5,54.0,102393,0.0796734152,0.0961979823,0.261482718,0.380670554,0.18197533,8.130311556,2,4,126.9119453,37.5041311,한림대학교강남성심병원,1.2439712786900488,신풍,0.45713944410231006,5,0,2,20,1,0,20,3
59,강서구,화곡동,남광아파트,20240103,21000,32.07,13,강서구 화곡동 0920-0015,2024,202401,3.5,54.0,217278,0.0664632406,0.100069957,0.285293495,0.378694576,0.16947413,7.385394433,0,7,126.8415939,37.5300216,홍익병원,1.954107952813152,신정네거리,1.533076774739305,1,0,5,4,1,0,4,4
60,노원구,상계동,보람아파트,20240103,37400,44.33,12,노원구 상계동 0639-0000,2024,202401,3.5,54.0,197373,0.0755675802,0.116272236,0.217324558,0.406073779,0.184761847,6.329893618,0,36,127.0649674,37.6661848,인제대학교상계백병원,1.9641954674606026,상계,0.9521282104596247,5,2,6,1,1,0,9,8
61,강서구,내발산동,마곡수명산파크5단지,20240103,79000,59.76,11,강서구 내발산동 0749-0000,2024,202401,3.5,54.0,44651,0.0997738013,0.159033392,0.182392332,0.417415064,0.141363015,7.385394433,0,16,126.82708,37.5519839,미즈메디병원,0.7891505981967649,까치산,1.2958210781484487,2,1,12,15,1,0,4,5
62,양천구,목동,롯데캐슬위너,20240103,110000,84.94,13,양천구 목동 0956-0000,2024,202401,3.5,54.0,145375,0.0970868444,0.14999828,0.203198624,0.417472055,0.132244196,6.508188939,1,19,126.8672384,37.546891,부민병원,1.8195516334629385,화곡,1.9624008537869864,0,2,6,7,1,0,19,1
63,광진구,중곡동,삼민,20240103,45000,59.94,2,광진구 중곡동 0609-0000,2024,202401,3.5,54.0,78943,0.0533422849,0.0943972233,0.2855478,0.391193646,0.175493711,6.429904783,0,29,127.0837391,37.5630976,녹색병원,2.291192548233117,중곡,0.45149425265319293,4,1,1,4,1,0,6,2
64,동작구,흑석동,롯데캐슬에듀포레,20240103,138000,59.87,8,동작구 흑석동 0340-0000,2024,202401,3.5,54.0,30013,0.100556426,0.120181255,0.230666711,0.387898577,0.160697031,6.318370097,1,6,126.9594965,37.5043676,중앙대학교병원,0.3219903246914466,상도,0.7894093566016194,4,0,1,2,1,0,12,2
65,강남구,삼성동,삼성동대성유니드,20240103,150000,78.69,6,강남구 삼성동 0129-0000,2024,202401,3.5,54.0,42657,0.091919263,0.132240898,0.238202405,0.399418618,0.138218815,8.94471406,2,20,127.0540747,37.5085024,재단법인베스티안재단베스티안서울병원,1.1935858708982074,선정릉,0.6348891269040079,0,6,14,13,1,0,1,8
66,동작구,상도동,삼성래미안2,20240103,104900,84.8,12,동작구 상도동 0421-0000,2024,202401,3.5,54.0,113485,0.0719037758,0.118174208,0.262343041,0.373467859,0.174111116,6.318370097,2,21,126.9582622,37.4980675,중앙대학교병원,1.0261052666191455,상도,0.885356773028695,2,0,1,0,1,0,12,3
67,구로구,고척동,삼익(1단지),20240103,42000,59.82,13,구로구 고척동 0330-0000,2024,202401,3.5,54.0,52231,0.0766403094,0.10771381,0.238172733,0.38860064,0.188872509,7.212296533,0,23,126.8529875,37.5086847,구로성심병원,1.5497614292603816,양천구청,0.936853837679051,4,2,2,3,1,0,7,5
68,동작구,사당동,롯데캐슬,20240103,109000,84.96,12,동작구 사당동 1132-0000,2024,202401,3.5,54.0,96726,0.0673035172,0.0927568596,0.293261377,0.360957757,0.185699812,6.318370097,1,21,126.9725282,37.4907785,중앙대학교병원,2.0868612551225345,남성,0.3641778054982893,3,1,9,5,1,0,12,4
69,강서구,마곡동,마곡힐스테이트,20240103,130000,84.89,10,강서구 마곡동 0725-0001,2024,202401,3.5,54.0,53920,0.12666914,0.126539318,0.312852374,0.34504822,0.0888909496,7.385394433,2,7,126.8178444,37.5640478,이화여자대학교의과대학부속서울병원,1.7905605931025985,개화산,0.6037247003378755,3,1,7,6,1,0,4,6
70,노원구,상계동,상계주공14(고층),20240103,37000,45.9,3,노원구 상계동 0626-0000,2024,202401,3.5,54.0,197373,0.0755675802,0.116272236,0.217324558,0.406073779,0.184761847,6.329893618,0,35,127.0592849,37.6691701,인제대학교상계백병원,2.314082782922298,노원,1.4773101136546236,7,1,3,1,1,0,9,9
71,구로구,구로동,럭키,20240103,70500,84.9,11,구로구 구로동 1257-0000,2024,202401,3.5,54.0,114035,0.0621212785,0.0943569957,0.280115754,0.379453677,0.183952295,7.212296533,0,32,126.8940682,37.4920242,명지성모병원,0.5006095780222694,대림(구로구청),0.16927371184856693,3,0,3,7,1,0,7,6
72,구로구,구로동,럭키,20240103,55500,59.98,8,구로구 구로동 1257-0000,2024,202401,3.5,54.0,114035,0.0621212785,0.0943569957,0.280115754,0.379453677,0.183952295,7.212296533,0,32,126.8940682,37.4920242,명지성모병원,0.5006095780222694,대림(구로구청),0.16927371184856693,3,0,3,7,1,0,7,7
73,강남구,일원동,상록수,20240103,179000,74.54,5,강남구 일원동 0734-0000,2024,202401,3.5,54.0,47813,0.109677284,0.138309665,0.215527158,0.391880869,0.144605024,8.94471406,0,31,127.0810078,37.4821156,삼성서울병원,0.8701872929321348,대청,0.3688076678105723,2,2,0,1,1,0,1,9
74,강북구,미아동,두산위브트레지움,20240103,78500,84.97,14,강북구 미아동 0811-0000,2024,202401,3.5,54.0,127024,0.0665307343,0.114088676,0.200780955,0.414779884,0.203811878,5.830852328,0,13,127.0169376,37.6177682,의료법인성화의료재단대한병원,2.032160244655326,솔샘,0.21053913851059392,5,0,5,1,1,0,3,2
75,관악구,봉천동,두산,20240103,79000,59.92,10,관악구 봉천동 1708-0000,2024,202401,3.5,54.0,221702,0.0544018547,0.117820317,0.345558452,0.32166151,0.160557866,6.374571906,0,24,126.9429032,37.4845463,의료법인서울효천의료재단 에이치플러스양지병원,0.9149653729383087,낙성대(강감찬),0.5595603473896753,4,0,5,6,1,0,5,4
76,중랑구,신내동,동성3,20240103,78500,105.93,4,중랑구 신내동 0618-0000,2024,202401,3.5,54.0,57327,0.0838173984,0.113332287,0.200481448,0.405969264,0.196364715,6.258485261,0,27,127.0962594,37.6085266,서울특별시서울의료원,0.5091300569564216,양원(서울시북부병원),1.0486648359618413,4,0,6,4,1,0,25,2
77,구로구,오류동,동부(105동~106동),20240103,56000,84.9,18,구로구 오류동 0339-0000,2024,202401,3.5,54.0,43746,0.0654688429,0.095231564,0.277625383,0.366547799,0.195126412,7.212296533,0,25,126.8487282,37.4970789,구로성심병원,1.5814613592784692,개봉,0.9994947241629007,1,2,13,20,1,0,7,8
78,중구,흥인동,동대문와이즈캐슬,20240103,14500,15.55,9,중구 흥인동 0119-0000,2024,202401,3.5,54.0,2253,0.0474922326,0.108743897,0.430537062,0.320017754,0.0932090546,8.417634347,0,10,127.0154801,37.5658551,국립중앙의료원,0.8694048358355118,신당,0.18154193022481474,2,1,39,7,1,0,24,2
79,강남구,도곡동,도곡1차아이파크,20240103,264000,130.26,25,강남구 도곡동 0543-0007,2024,202401,3.5,54.0,53059,0.114024011,0.147665806,0.181854162,0.406999755,0.149456266,8.94471406,1,17,127.0432234,37.4921274,연세대학교의과대학강남세브란스병원,0.28282391266003826,도곡,0.432956419978583,0,5,7,7,1,0,1,10
80,마포구,성산동,성산시영(유원),20240103,112500,59.43,11,마포구 성산동 0446-0000,2024,202401,3.5,54.0,47574,0.0574053054,0.111678648,0.310442679,0.357253962,0.163219406,7.625313276,0,38,126.9019114,37.5721263,의료법인동신의료재단동신병원,3.214436389228627,마포구청,0.7640150586748886,2,1,6,5,1,0,13,2
81,영등포구,여의도동,대우트럼프월드II,20240103,258000,163.87,9,영등포구 여의도동 0048-0000,2024,202401,3.5,54.0,33412,0.0973303005,0.10633904,0.226505447,0.384472645,0.185352568,8.130311556,0,21,126.9270589,37.5174233,성애의료재단성애병원,0.7267406577838744,대방,0.47278282097762836,1,1,13,7,1,0,20,4
